"","name","hip"
"1","Acamar		      ",13847
"2","Achernar 	      ",7588
"3","Acrux		      ",60718
"4","Adhara		      ",33579
"5","Agena		      ",68702
"6","Albireo 	      ",95947
"7","Alcor		      ",65477
"8","Alcyone 	      ",17702
"9","Aldebaran 	      ",21421
"10","Alderamin 	      ",105199
"11","Algenib 	      ",1067
"12","Algieba 	      ",50583
"13","Algol		      ",14576
"14","Alhena		      ",31681
"15","Alioth		      ",62956
"16","Alkaid		      ",67301
"17","Almaak		      ",9640
"18","Alnair		      ",109268
"19","Alnath		      ",25428
"20","Alnilam 	      ",26311
"21","Alnitak 	      ",26727
"22","Alphard 	      ",46390
"23","Alphekka 	      ",76267
"24","Alpheratz 	      ",677
"25","Alshain 	      ",98036
"26","Altair		      ",97649
"27","Ankaa		      ",2081
"28","Antares 	      ",80763
"29","Arcturus 	      ",69673
"30","Arneb		      ",25985
"31","Babcock's star      ",112247
"32","Barnard's .star       ",87937
"33","Bellatrix 	      ",25336
"34","Betelgeuse 	      ",27989
"35","Campbell's star     ",96295
"36","Canopus 	      ",30438
"37","Capella 	      ",24608
"38","Caph		      ",746
"39","Castor		      ",36850
"40","Cor Caroli 	      ",63125
"41","Cyg X-1	      ",98298
"42","Deneb		      ",102098
"43","Denebola 	      ",57632
"44","Diphda		      ",3419
"45","Dubhe		      ",54061
"46","Enif		      ",107315
"47","Etamin		      ",87833
"48","Fomalhaut 	      ",113368
"49","Groombridge 1830    ",57939
"50","Hadar		      ",68702
"51","Hamal		      ",9884
"52","Izar		      ",72105
"53","Kapteyn's star      ",24186
"54","Kaus Australis      ",90185
"55","Kocab		      ",72607
"56","Kruger 60	      ",110893
"57","Luyten's star	      ",36208
"58","Markab		      ",113963
"59","Megrez		      ",59774
"60","Menkar		      ",14135
"61","Merak		      ",53910
"62","Mintaka 	      ",25930
"63","Mira		      ",10826
"64","Mirach		      ",5447
"65","Mirphak 	      ",15863
"66","Mizar		      ",65378
"67","Nihal		      ",25606
"68","Nunki		      ",92855
"69","Phad		      ",58001
"70","Pleione 	      ",17851
"71","Polaris 	      ",11767
"72","Pollux		      ",37826
"73","Procyon 	      ",37279
"74","Proxima 	      ",70890
"75","Rasalgethi 	      ",84345
"76","Rasalhague 	      ",86032
"77","Red Rectangle	      ",30089
"78","Regulus 	      ",49669
"79","Rigel		      ",24436
"80","Rigil Kent	      ",71683
"81","Sadalmelik 	      ",109074
"82","Saiph		      ",27366
"83","Scheat		      ",113881
"84","Shaula		      ",85927
"85","Shedir		      ",3179
"86","Sheliak 	      ",92420
"87","Sirius		      ",32349
"88","Spica		      ",65474
"89","Tarazed 	      ",97278
"90","Thuban		      ",68756
"91","Unukalhai 	      ",77070
"92","Van Maanen 2	      ",3829
"93","Vega		      ",91262
"94","Vindemiatrix 	      ",63608
"95","Zaurak		      ",18543
"96","3C 273	      ",60936
