"","x","y","pos","ind"
"1",1.5,3,2,1
"2",3,4,2,2
"3",5,6,2,3
"4",5,7,2,4
"5",4,7.75,2,5
"6",3.75,8.5,2,6
"7",4,9,2,7
"8",5,9.5,2,8
"9",5.25,11,2,9
"10",5.5,9.5,1,10
"11",6.25,10.5,3,11
"12",6,9,4,12
"13",7,8,3,13
"14",9,8,3,14
"15",11,8,3,15
"16",12.5,7.75,3,16
"17",14,6.75,3,17
"18",15.5,6,3,18
"19",17,5,3,19
"20",18,4.5,3,20
"21",18,4,1,21
"22",17,4.5,1,22
"23",16,5,1,23
"24",14.75,5,3,24
"25",14.5,4.25,4,25
"26",14,2,4,26
"27",13.5,0.5,1,27
"28",13,1,1,28
"29",13.25,2,2,29
"30",13.25,3.5,4,30
"31",13,4,3,31
"32",12.5,3,2,32
"33",12,2,2,33
"34",10.5,1,1,34
"35",10.5,2,2,35
"36",11.5,3.5,2,36
"37",12,5,3,37
"38",10.5,4.5,1,38
"39",9,4.5,1,39
"40",7,4.75,2,40
"41",6.5,3.5,4,41
"42",6,2.5,4,42
"43",5,2,1,43
"44",5.5,3,2,44
"45",6,4,2,45
"46",5.5,5,3,46
"47",4.5,4,1,47
"48",3,3,1,48
"49",1.5,3,1,49
