"","UBP","person","grip.type","replicate"
"1",168.208362272478,"1","classic",1
"2",161.414064961392,"1","classic",2
"3",163.234472810511,"1","classic",3
"4",155.942901913807,"2","classic",1
"5",168.538777777594,"2","classic",2
"6",166.316329188353,"2","classic",3
"7",162.619053487789,"3","classic",1
"8",157.802989974269,"3","classic",2
"9",171.652934125154,"3","classic",3
"10",165.139990663023,"4","classic",1
"11",164.952518870756,"4","classic",2
"12",158.200801174058,"4","classic",3
"13",160.073902601563,"1","modern",1
"14",161.238327931846,"1","modern",2
"15",166.763501392816,"1","modern",3
"16",161.833435207639,"2","modern",1
"17",162.79002508169,"2","modern",2
"18",157.5793148066,"2","modern",3
"19",165.224779766649,"3","modern",1
"20",162.780416192414,"3","modern",2
"21",159.763173030424,"3","modern",3
"22",160.304911536362,"4","modern",1
"23",168.538146480937,"4","modern",2
"24",164.468769405595,"4","modern",3
"25",166.713361313327,"1","integrated",1
"26",173.031937449634,"1","integrated",2
"27",173.253685786682,"1","integrated",3
"28",165.482526462328,"2","integrated",1
"29",166.049821146617,"2","integrated",2
"30",170.579436990733,"2","integrated",3
"31",174.818166006035,"3","integrated",1
"32",166.82221116708,"3","integrated",2
"33",165.277561135659,"3","integrated",3
"34",174.866092405437,"4","integrated",1
"35",173.005754060338,"4","integrated",2
"36",165.153151779071,"4","integrated",3
