"","Male","Female"
"1",16,14
"2",18,16
"3",21,18
"4",25,18
"5",30,22
"6",40,25
"7",50,30
"8",60,35
"9",16,13
"10",18,16
"11",21,17
"12",25,19
"13",30,19
"14",40,19
"15",50,30
"16",60,35
"17",16,15
"18",18,16
"19",21,18
"20",25,21
"21",30,25
"22",40,30
"23",50,35
"24",60,45
"25",16,15
"26",18,16
"27",21,18
"28",25,19
"29",30,25
"30",40,30
"31",50,30
"32",60,30
"33",16,14
"34",18,16
"35",21,18
"36",25,18
"37",30,18
"38",40,25
"39",50,30
"40",60,30
"41",16,15
"42",18,16
"43",21,18
"44",25,22
"45",30,25
"46",40,35
"47",50,45
"48",60,50
"49",16,NA
"50",18,17
"51",21,18
"52",25,21
"53",30,25
"54",40,30
"55",50,30
"56",60,40
"57",16,15
"58",18,16
"59",21,17
"60",25,18
"61",30,23
"62",40,30
"63",50,35
"64",60,45
"65",16,16
"66",18,18
"67",21,18
"68",25,21
"69",30,21
"70",40,25
"71",50,35
"72",60,45
"73",16,14
"74",18,16
"75",21,18
"76",25,18
"77",30,25
"78",40,30
"79",50,40
"80",60,50
