"","age","size"
"3997",6.91,57.5
"991",0.91,9.5
"2163",2.41,29.5
"15",0.49,0.5
"2202",2.41,30.5
"2862",3.42,44.5
"1575",1.41,24.5
"293",0.49,2.5
"358",0.49,3.5
"2938",3.42,47.5
"798",0.91,4.5
"1289",1.41,13.5
"795",0.91,4.5
"1102",0.91,14.5
"1923",1.91,27.5
"1634",1.41,30.5
"2135",2.41,27.5
"1484",1.41,20.5
"1845",1.91,23.5
"3222",3.92,50.5
"1116",0.91,15.5
"278",0.49,2.5
"202",0.49,1.5
"1088",0.91,13.5
"2151",2.41,28.5
"3797",5.91,50.5
"1441",1.41,18.5
"439",0.49,4.5
"233",0.49,2.5
"3737",5.42,54.5
"3366",4.41,48.5
"1357",1.41,16.5
"3343",4.41,45.5
"2750",2.92,48.5
"2531",2.92,34.5
"157",0.49,1.5
"2026",1.91,35.5
"2169",2.41,29.5
"3355",4.41,47.5
"2204",2.41,30.5
"3377",4.41,49.5
"3499",4.41,55.5
"1597",1.41,25.5
"3527",4.41,58.5
"1433",1.41,18.5
"1114",0.91,15.5
"1980",1.91,29.5
"3396",4.41,50.5
"800",0.91,4.5
"1263",1.41,13.5
"2555",2.92,36.5
"821",0.91,5.5
"3747",5.42,54.5
"1308",1.41,14.5
"3306",3.92,55.5
"544",0.49,5.5
"3168",3.92,47.5
"2063",1.91,39.5
"2583",2.92,38.5
"1900",1.91,26.5
"1918",1.91,26.5
"3515",4.41,57.5
"3139",3.92,45.5
"3394",4.41,50.5
"2674",2.92,42.5
"2071",1.91,40.5
"565",0.49,6.5
"1415",1.41,17.5
"402",0.49,3.5
"1857",1.91,24.5
"1995",1.91,30.5
"2263",2.41,33.5
"130",0.49,1.5
"1360",1.41,16.5
"2267",2.41,33.5
"2511",2.92,33.5
"2085",2.41,23.5
"195",0.49,1.5
"2068",1.91,40.5
"2754",2.92,48.5
"1891",1.91,25.5
"1488",1.41,20.5
"726",0.91,1.5
"4003",6.91,58.5
"3261",3.92,52.5
"3149",3.92,46.5
"1824",1.91,23.5
"1209",0.91,22.5
"2787",2.92,51.5
"1480",1.41,20.5
"1710",1.91,18.5
"2980",3.42,48.5
"2158",2.41,29.5
"918",0.91,7.5
"3410",4.41,51.5
"2461",2.41,48.5
"2761",2.92,49.5
"191",0.49,1.5
"452",0.49,4.5
"1450",1.41,19.5
"1962",1.91,28.5
"3192",3.92,49.5
"519",0.49,5.5
"1179",0.91,18.5
"397",0.49,3.5
"429",0.49,3.5
"2632",2.92,40.5
"750",0.91,2.5
"1274",1.41,13.5
"3459",4.41,53.5
"2645",2.92,41.5
"2371",2.41,39.5
"671",0.49,9.5
"6",0.49,0.5
"3951",6.91,46.5
"3524",4.41,58.5
"1104",0.91,14.5
"2669",2.92,42.5
"167",0.49,1.5
"3949",6.42,65.5
"717",0.49,12.5
"234",0.49,2.5
"2054",1.91,38.5
"3295",3.92,54.5
"3826",5.91,55.5
"2752",2.92,48.5
"2979",3.42,48.5
"3083",3.42,55.5
"187",0.49,1.5
"2458",2.41,47.5
"647",0.49,8.5
"2933",3.42,46.5
"3466",4.41,53.5
"1828",1.91,23.5
"874",0.91,6.5
"1246",1.41,12.5
"2909",3.42,46.5
"324",0.49,3.5
"158",0.49,1.5
"2292",2.41,34.5
"501",0.49,4.5
"3358",4.41,47.5
"2289",2.41,34.5
"1418",1.41,17.5
"1140",0.91,16.5
"287",0.49,2.5
"709",0.49,11.5
"2432",2.41,45.5
"3512",4.41,56.5
"2407",2.41,43.5
"385",0.49,3.5
"2970",3.42,48.5
"1941",1.91,27.5
"2542",2.92,35.5
"1055",0.91,11.5
"207",0.49,1.5
"208",0.49,2.5
"653",0.49,8.5
"746",0.91,2.5
"3174",3.92,48.5
"3351",4.41,46.5
"3745",5.42,54.5
"2271",2.41,33.5
"3161",3.92,47.5
"3285",3.92,54.5
"1806",1.91,22.5
"1369",1.41,16.5
"3162",3.92,47.5
"3519",4.41,57.5
"527",0.49,5.5
"184",0.49,1.5
"441",0.49,4.5
"302",0.49,2.5
"1849",1.91,23.5
"117",0.49,1.5
"3922",6.42,57.5
"2195",2.41,30.5
"1628",1.41,29.5
"3333",3.92,62.5
"2716",2.92,45.5
"654",0.49,8.5
"2327",2.41,36.5
"837",0.91,6.5
"3791",5.91,48.5
"1911",1.91,26.5
"152",0.49,1.5
"1680",1.91,15.5
"3529",4.41,59.5
"2517",2.92,33.5
"3101",3.92,37.5
"4013",6.91,61.5
"1118",0.91,15.5
"1512",1.41,21.5
"2235",2.41,32.5
"188",0.49,1.5
"2091",2.41,24.5
"3483",4.41,54.5
"2576",2.92,37.5
"421",0.49,3.5
"1174",0.91,18.5
"1833",1.91,23.5
"1591",1.41,25.5
"2826",3.42,42.5
"1321",1.41,14.5
"3646",4.91,54.5
"1935",1.91,27.5
"3774",5.42,58.5
"2550",2.92,36.5
"3469",4.41,54.5
"1721",1.91,19.5
"1905",1.91,26.5
"3172",3.92,47.5
"3268",3.92,52.5
"3257",3.92,51.5
"177",0.49,1.5
"1305",1.41,14.5
"2105",2.41,25.5
"2349",2.41,38.5
"2757",2.92,48.5
"2400",2.41,42.5
"27",0.49,0.5
"2819",3.42,41.5
"1506",1.41,21.5
"1894",1.91,25.5
"3706",5.42,50.5
"3492",4.41,55.5
"623",0.49,7.5
"1546",1.41,23.5
"3613",4.91,52.5
"2123",2.41,26.5
"3753",5.42,55.5
"3387",4.41,50.5
"1177",0.91,18.5
"2561",2.92,36.5
"69",0.49,1.5
"3050",3.42,53.5
"940",0.91,8.5
"480",0.49,4.5
"3056",3.42,53.5
"1176",0.91,18.5
"3578",4.91,49.5
"1777",1.91,21.5
"3732",5.42,53.5
"659",0.49,8.5
"934",0.91,8.5
"3858",5.91,59.5
"3363",4.41,48.5
"1372",1.41,16.5
"3395",4.41,50.5
"3784",5.91,38.5
