"","year","count"
"1",1952,5.4
"2",1953,4
"3",1954,4.8
"4",1955,7.1
"5",1956,5.2
"6",1957,3.8
"7",1958,3.1
"8",1959,3.5
"9",1960,3.4
"10",1961,3.2
"11",1962,3.1
"12",1963,2.1
"13",1964,1.6
"14",1965,1.25
"15",1966,1.6
"16",1967,1.1
"17",1968,2.9
"18",1969,1.6
"19",1970,1.2
"20",1971,1.3
"21",1972,1
"22",1973,0.8
"23",1974,0.6
"24",1975,0.6
"25",1976,0.6
"26",1977,0.9
"27",1978,0.6
"28",1979,0.4
"29",1980,0.4
"30",1981,0.3
"31",1982,0.5
"32",1983,0.5
"33",1984,0.5
"34",1985,0.6
"35",1986,0.7
"36",1987,0.6
"37",1988,0.8
"38",1989,0.4
"39",1990,0.6
"40",1991,0.6
"41",1992,0.7
"42",1993,0.6
"43",1994,0.6
"44",1995,0.55
"45",1996,0.65
"46",1997,0.6
"47",1998,0.65
"48",1999,0.6
"49",2000,0.6
